full_name,url,description
kuba2k2/i-use-win7-btw,https://github.com/kuba2k2/i-use-win7-btw,Windows 7 survival guide & software compatibility list
arntsonl/calc_security_poc,https://github.com/arntsonl/calc_security_poc,A sample of proof of concept scripts that run Calc.exe with full source code.
Moh4696/100-free-open-source-github-repos,https://github.com/Moh4696/100-free-open-source-github-repos,100 free open-source github repos worth knowing — with the honest catch on each one.
Egonex-AI/Understand-Anything,https://github.com/Egonex-AI/Understand-Anything,"Graphs that teach > graphs that impress. Turn any code into an interactive knowledge graph you can explore, search, and ask questions about. Works with Claude Code, Codex, Cursor, Copilot, Gemini CLI, and more."
moneytoo/AllMy...,https://github.com/moneytoo/AllMy...,Xposed Tweaks. Mostly for CyanogenMod/AOSP/TouchWiz.
TheTechnoLegacy/HoloMDNotes,https://github.com/TheTechnoLegacy/HoloMDNotes,Holo version of MDNotes
val00n/MDNotes,https://github.com/val00n/MDNotes,
dumbie/ScrobbleMe,https://github.com/dumbie/ScrobbleMe,"ScrobbleMe is an easy to use modern Windows Last.fm song scrobbler, the app scrobbles your recently played songs to Last.fm with just one tap, you can also synchronize your loved songs with your Last.fm profile and view your recommended artists, top artists, recently scrobbled and loved songs."
jpt/barlow,https://github.com/jpt/barlow,Barlow: a straight-sided sans-serif superfamily
gsd-build/get-shit-done,https://github.com/gsd-build/get-shit-done,"A light-weight and powerful meta-prompting, context engineering and spec-driven development system for Claude Code by TÂCHES."
sneakyevil/WinAeroDarkCalc,https://github.com/sneakyevil/WinAeroDarkCalc,Modified Windows 7 Calculator in Dark Mode for Windows 10
Bioruebe/UniExtract2,https://github.com/Bioruebe/UniExtract2,Universal Extractor 2 is a tool to extract files from any type of archive or installer.
Adrikikicp2/DWM,https://github.com/Adrikikicp2/DWM,Decompilation of Windows 7's Desktop Window Manager (dwm.exe and uDWM.dll)
majiayu000/claude-skill-registry,https://github.com/majiayu000/claude-skill-registry,The most comprehensive Claude Code skills registry | Web Search: https://majiayu000.github.io/claude-skill-registry-core/
Gskartwii/Rbx_CustomFont,https://github.com/Gskartwii/Rbx_CustomFont,A custom font management system for Roblox
rustyspottedcatt/RoLLM,https://github.com/rustyspottedcatt/RoLLM,
tp-link-extender/2013,https://github.com/tp-link-extender/2013,Refactored and rewritten December 2013-related scripts and tools
KieronQuinn/AmbientMusicMod,https://github.com/KieronQuinn/AmbientMusicMod,Port of Now Playing from Pixels to other Android devices
7x11x13/bandcamp-auto-uploader,https://github.com/7x11x13/bandcamp-auto-uploader,Upload albums to Bandcamp automatically without a Pro account
7x11x13/hidden-bandcamp-tracks,https://github.com/7x11x13/hidden-bandcamp-tracks,Browser extension to show how many hidden tracks an album on Bandcamp has
msx2plus/msx_iti_collection,https://github.com/msx2plus/msx_iti_collection,collection of ITI instruments for openMPT + impulse tracker created to be reasonably high fidelity and highly optimized
michaelwillis/dragonfly-reverb,https://github.com/michaelwillis/dragonfly-reverb,A set of free reverb effects
howmanysmall/eslint-cease-nonsense-rules,https://github.com/howmanysmall/eslint-cease-nonsense-rules,"People write junk, this intends to stop it."
web-scrobbler/web-scrobbler,https://github.com/web-scrobbler/web-scrobbler,Scrobble music all around the web!
opa334/darksword-kexploit,https://github.com/opa334/darksword-kexploit,iOS <=26.0.1 DarkSword Kernel Exploit reimplemented in Objective-C
